scientific_name,author,year,extinct
Aix galericulata,Linnaeus,1758,0
Aix sponsa,Linnaeus,1758,0
Alopochen aegyptiaca,Linnaeus,1766,0
Alopochen kervazoi,Cowles,1994,1
Alopochen mauritiana,E. Newton & Gadow,1893,1
Amazonetta brasiliensis,J. F. Gmelin,1789,0
Anas acuta,Linnaeus,1758,0
Anas albogularis,Hume,1873,0
Anas andium,P. L. Sclater & Salvin,1873,0
Anas aucklandica,G. R. Gray,1844,0
Anas bahamensis,Linnaeus,1758,0
Anas bernieri,Hartlaub,1860,0
Anas capensis,J. F. Gmelin,1789,0
Anas carolinensis,J. F. Gmelin,1789,0
Anas castanea,Eyton,1838,0
Anas chlorotis,G. R. Gray,1845,0
Anas crecca,Linnaeus,1758,0
Anas diazi,Ridgway,1886,0
Anas eatoni,Sharpe,1875,0
Anas erythrorhyncha,J. F. Gmelin,1789,0
Anas flavirostris,Vieillot,1816,0
Anas fulvigula,Ridgway,1874,0
Anas georgica,J. F. Gmelin,1789,0
Anas gibberifrons,S. Müller,1842,0
Anas gracilis,Buller,1869,0
Anas laysanensis,Rothschild,1892,0
Anas luzonica,Fraser,1839,0
Anas melleri,P. L. Sclater,1865,0
Anas nesiotis,J.,H. Fleming,1935
Anas platyrhynchos,Linnaeus,1758,0
Anas poecilorhyncha,J. R. Forster,1781,0
Anas rubripes,Brewster,1902,0
Anas sparsa,Eyton,1838,0
Anas superciliosa,J. F. Gmelin,1789,0
Anas theodori,E. Newton & Gadow,1893,1
Anas undulata,C. F. Dubois,1838,0
Anas wyvilliana,P. L. Sclater,1878,0
Anas zonorhyncha,Swinhoe,1866,0
Anser albifrons,Scopoli,1769,0
Anser anser,Linnaeus,1758,0
Anser brachyrhynchus,Baillon,1834,0
Anser caerulescens,Linnaeus,1758,0
Anser canagicus,Sevastianov,1802,0
Anser cygnoides,Linnaeus,1758,0
Anser erythropus,Linnaeus,1758,0
Anser fabalis,Latham,1787,0
Anser indicus,Latham,1790,0
Anser rossii,Cassin,1861,0
Anser serrirostris,Gould,1852,0
Asarcornis scutulata,S. Müller,1842,0
Aythya affinis,Eyton,1838,0
