Common_Name,Scientific_Name
Abbott's babbler,Malacocincla abbotti
Abbott's booby,Papasula abbotti
Abbott's starling,Poeoptera femoralis
Abbott's starling,Arizelopsar femoralis
Abd al-Kuri sparrow,Passer hemileucus
Abdim's stork,Ciconia abdimii
Aberdare cisticola,Cisticola aberdare
Aberrant bush warbler,Horornis flavolivaceus
Abert's towhee,Melozone aberti
Abyssinian catbird,Sylvia galinieri
Abyssinian crimsonwing,Cryptospiza salvadorii
Abyssinian ground hornbill,Bucorvus abyssinicus
Abyssinian ground thrush,Geokichla piaggiae
Abyssinian longclaw,Macronyx flavicollis
Abyssinian owl,Asio abyssinicus
Abyssinian roller,Coracias abyssinicus
Abyssinian scimitarbill,Rhinopomastus minor
Abyssinian slaty flycatcher,Melaenornis chocolatinus
Abyssinian thrush,Turdus abyssinicus
Abyssinian wheatear,Oenanthe lugubris
Abyssinian white-eye,Zosterops abyssinicus
Abyssinian woodpecker,Dendropicos abyssinicus
Acacia pied barbet,Tricholaema leucomelas
Acacia tit,Melaniparus thruppi
Acadian flycatcher,Empidonax virescens
Aceh bulbul,Pycnonotus snouckaerti
Acorn woodpecker,Melanerpes formicivorus
Acre antshrike,Thamnophilus divisorius
Acre tody-tyrant,Hemitriccus cohnhafti
Adamawa turtle dove,Streptopelia hypopyrrha
Adelaide's warbler,Setophaga adelaidae
Admiralty cicadabird,Edolisoma admiralitatis
Adélie penguin,Pygoscelis adeliae
Afep pigeon,Columba unicincta
Afghan babbler,Argya huttoni
Afghan snowfinch,Pyrgilauda theresae
African barred owlet,Glaucidium capense
African black duck,Anas sparsa
African black swift,Apus barbatus
African blue flycatcher,Elminia longicauda
African blue tit,Cyanistes teneriffae
African broadbill,Smithornis capensis
African citril,Crithagra citrinelloides
African collared dove,Streptopelia roseogrisea
African crake,Crecopsis egregia
African crimson-winged finch,Rhodopechys alienus
African cuckoo,Cuculus gularis
African cuckoo-hawk,Aviceda cuculoides
African darter,Anhinga rufa
African desert warbler,Curruca deserti
African dusky flycatcher,Muscicapa adusta
African dwarf kingfisher,Ispidina lecontei
African emerald cuckoo,Chrysococcyx cupreus
African finfoot,Podica senegalensis
African firefinch,Lagonosticta rubricata
African fish eagle,Icthyophaga vocifer
African fish eagle,Haliaeetus vocifer
African golden oriole,Oriolus auratus
African goshawk,Accipiter tachiro
African grass owl,Tyto capensis
African green bee-eater,Merops viridissimus
African green pigeon,Treron calvus
African grey flycatcher,Bradornis microrhynchus
African grey hornbill,Lophoceros nasutus
African grey woodpecker,Dendropicos goertae
African harrier-hawk,Polyboroides typus
African hawk-eagle,Aquila spilogaster
African hill babbler,Sylvia abyssinica
African hobby,Falco cuvierii
African hoopoe,Upupa africana
African jacana,Actophilornis africanus
African marsh harrier,Circus ranivorus
African olive pigeon,Columba arquatrix
African openbill,Anastomus lamelligerus
African oystercatcher,Haematopus moquini
African palm swift,Cypsiurus parvus
African paradise flycatcher,Terpsiphone viridis
African penguin,Spheniscus demersus
African piculet,Verreauxia africana
African pied wagtail,Motacilla aguimp
African pipit,Anthus cinnamomeus
African pitta,Pitta angolensis
African pygmy goose,Nettapus auritus
African pygmy kingfisher,Ispidina picta
African rail,Rallus caerulescens
African red-eyed bulbul,Pycnonotus nigricans
African river martin,Pseudochelidon eurystomina
African rock pipit,Anthus Crenatus
African sacred ibis,Threskiornis aethiopicus
African scops owl,Otus senegalensis
African shrike-flycatcher,Megabyas flammulatus
African silverbill,Euodice cantans
African skimmer,Rynchops flavirostris
African snipe,Gallinago nigripennis
African spoonbill,Platalea alba
African spotted creeper,Salpornis salvadori
African stonechat,Saxicola torquatus
African swamphen,Porphyrio madagascariensis
African thrush,Turdus pelios
African wattled lapwing,Vanellus senegallus
African wood owl,Strix woodfordii
African woolly-necked stork,Ciconia microscelis
African yellow warbler,Iduna natalensis
Agami heron,Agamia agami
Agile tit-tyrant,Uromyias agilis
Aguiguan reed warbler,Acrocephalus nijoi
Agulhas long-billed lark,Certhilauda brevirostris
Ahanta spurfowl,Pternistis ahantensis
Ainley's storm petrel,Hydrobates cheimomnestes
Akun eagle-owl,Bubo leucostictus
Akun eagle-owl,Ketupa leucosticta
Alagoas antwren,Myrmotherula snowi
Alagoas curassow,Mitu mitu
Alagoas foliage-gleaner,Philydor novaesi
Alagoas tyrannulet,Phylloscartes ceciliae
Alaotra grebe,Tachybaptus rufolavatus
Albert's lyrebird,Menura alberti
Albertine owlet,Glaucidium albertinum
Albertine sooty boubou,Laniarius holomelas
Aldabra brush warbler,Nesillas aldabrana
Aldabra drongo,Dicrurus aldabranus
Aldabra fody,Ploceus weynsi
Aldabra fody,F. aldabrana
Aldabra fody,Foudia aldabrana
Aldabra white-eye,Zosterops aldabrensis
Alder flycatcher,Empidonax alnorum
Aleutian tern,Onychoprion aleuticus
Alexandrine parakeet,Psittacula eupatria
Algerian nuthatch,Sitta ledanti
Allen's gallinule,Porphyrio alleni
Allen's hummingbird,Selasphorus sasin
Allpahuayo antbird,Percnostola arenarum
Alor boobook,Ninox plesseni
Alor myzomela,Myzomela prawiradilagae
Alpine accentor,Prunella collaris
Alpine chough,Pyrrhocorax graculus
Alpine pipit,Anthus gutturalis
Alpine swift,Tachymarptis melba
Alpine thrush,Zoothera mollissima
Alström's warbler,Phylloscopus soror
Alta Floresta antpitta,Hylopezus whittakeri
Altai accentor,Prunella himalayana
Altai snowcock,Tetraogallus altaicus
Altamira oriole,Icterus gularis
Altamira yellowthroat,Geothlypis flavovelata
Amami thrush,Zoothera major
Amami woodcock,Scolopax mira
Amani sunbird,Hedydipna pallidigaster
Amazilia hummingbird,Amazilis amazilia
Amazon kingfisher,Chloroceryle amazona
Amazonian antpitta,Myrmothera berlepschi
Amazonian antshrike,Thamnophilus amazonicus
Amazonian barred woodcreeper,Dendrocolaptes certhia
Amazonian black tyrant,Knipolegus poecilocercus
Amazonian elaenia,Myiopagis cinerea
Amazonian grosbeak,Cyanoloxia rothschildii
Amazonian inezia,Inezia subflava
Amazonian motmot,Momotus momota
Amazonian pygmy owl,Glaucidium hardyi
Amazonian scrub flycatcher,Sublegatus obscurior
Amazonian streaked antwren,Myrmotherula multostriata
Amazonian trogon,Trogon ramonianus
Amazonian umbrellabird,Cephalopterus ornatus
Ambon white-eye,Zosterops kuehni
